Cѓd Mun; Codigouf; Codigomunicipio; Estado; Nome; Capital (1=Sim;0=Nуo); Porte do Municэpio; Populaчуo 2016 (IBGE); Сrea da unidade territorial 2015 (kmВ) (IBGE Cidades); Densidade demogrсfica 2010 (hab/kmВ) (IBGE Cidades); PIB 2013 -  A preчos correntes (1000 R$) (IBGE) ; PIB per capita (R$) 2013 (IBGE); Эndice Firjan de Gestуo Fiscal (2015); Gastos saњde e educaчуo per capita; Эndice Fiscal 2016; Colocaчуo Nacional em Gastos e Finanчas Pњblicas; Colocaчуo Estadual em Gastos e Finanчas Pњblicas; "Municэpios com эndice 
(1=Sim; 0 Nуo)"; Status em Gastos e Finanчas; Variсvel do outlier; Terceirizaчуo serviчos bсsicos; Informatizaчуo; Articulaчуo institucional; Transparъncia; Planejamento Urbano; Servidores per capita; Comissionados ; Эndice Gestуo 2016; Colocaчуo Nacional em Qualidade da Gestуo; Colocaчуo Estadual em Qualidade da Gestуo; "Municэpios com эndice 
(1=Sim; 0 Nуo)2"; Status em Qualidade da Gestуo; Variсvel do outlier ; Qualidade habitacional; Atendimento mщdico; Vulnerabilidade; Educaчуo; IDHM; Mortalidade infantil; Эndice de Desempenho 2016; Colocaчуo Nacional em Desempenho; Colocaчуo Estadual em Desempenho; "Municэpios com эndice 
(1=Sim; 0 Nуo)3"; Status em Desempenho; Variсvel do outlier  ; IGM - 2016; Colocaчуo no IGM; Colocaчуo Estadual no IGM; "Municэpios com эndice 
(1=Sim; 0 Nуo)4"
2700300; 27; 300; AL; ARAPIRACA; 0; Grande porte; 232.671; 345,66; 600,8; 2.955.857,62; 12.984,79; 0,679; 0,224; 0,451; 967К; 6К; 1; Com dados; ; 0,477; 1,000; 0,090; 0,531; 0,681; 0,766; 0,996; 0,649; 648К; 2К; 1; Com dados; ; 0,803; 0,133; 0,635; 0,475; 0,492; 0,634; 0,528; 3148К; 4К; 1; Com dados; ; 0,543; 1131К; 1К; 1
4104055; 41; 4055; PR; CAMPO BONITO; 0; Pequeno porte 1; 4.210; 433,83; 10,2; 137.086,66; 31.434,68; 0,432; 0,442; 0,437; 1143К; 136К; 1; Com dados; ; 0,229; 1,000; 0,000; 0,561; 0,456; 0,420; 0,996; 0,523; 2329К; 261К; 1; Com dados; ; 0,919; 0,336; 0,776; 0,571; 0,568; 0,840; 0,668; 1580К; 209К; 1; Com dados; ; 0,543; 1132К; 194К; 1
3205010; 32; 5010; ES; SOORETAMA; 0; Pequeno porte 2; 28.509; 586,42; 40,7; 415.302,27; 15.471,53; 0,571; 0,230; 0,401; 1667К; 32К; 1; Com dados; ; 0,477; 1,000; 0,000; 0,561; 0,471; 0,721; 0,994; 0,603; 1134К; 27К; 1; Com dados; ; 0,907; 0,259; 0,683; 0,596; 0,523; 0,775; 0,624; 2254К; 62К; 1; Com dados; ; 0,543; 1133К; 34К; 1
4306700; 43; 6700; RS; DONA FRANCISCA; 0; Pequeno porte 1; 3.352; 114,35; 29,7; 60.182,16; 17.591,98; 0,356; 0,416; 0,386; 1923К; 310К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,581; 0,712; 0,691; 0,992; 0,568; 1632К; 254К; 1; Com dados; ; 0,944; 0,119; 0,915; 0,584; 0,606; 0,878; 0,674; 1495К; 221К; 1; Com dados; ; 0,543; 1134К; 245К; 1
4318408; 43; 18408; RS; SAO JERONIMO; 0; Pequeno porte 2; 23.649; 936,38; 23,6; 413.216,41; 17.762,82; 0,476; 0,055; 0,265; 3791К; 450К; 1; Com dados; ; 0,229; 0,762; 1,000; 0,810; 0,618; 0,815; 0,995; 0,747; 142К; 30К; 1; Com dados; ; 0,914; 0,113; 0,849; 0,354; 0,604; 0,859; 0,615; 2354К; 338К; 1; Com dados; ; 0,543; 1135К; 246К; 1
4302451; 43; 2451; RS; BOQUEIRAO DO LEAO; 0; Pequeno porte 1; 7.913; 265,52; 28,9; 101.194,52; 12.793,24; 0,618; 0,132; 0,375; 2096К; 339К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,800; 0,526; 0,757; 0,992; 0,582; 1425К; 217К; 1; Com dados; ; 0,931; 0,140; 0,929; 0,505; 0,613; 0,905; 0,671; 1547К; 225К; 1; Com dados; ; 0,543; 1136К; 247К; 1
4215455; 42; 15455; SC; SANGAO; 0; Pequeno porte 1; 12.001; 82,89; 125,5; 225.964,67; 20.007,50; 0,370; 0,198; 0,284; 3574К; 266К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,910; 1,000; 0,671; 0,997; 0,654; 605К; 110К; 1; Com dados; ; 0,963; 0,240; 0,848; 0,567; 0,613; 0,905; 0,690; 1239К; 181К; 1; Com dados; ; 0,542; 1137К; 196К; 1
3528007; 35; 28007; SP; MACATUBA; 0; Pequeno porte 1; 17.063; 224,51; 72,2; 451.277,77; 26.688,61; 0,479; 0,295; 0,387; 1903К; 354К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,521; 0,264; 0,712; 0,997; 0,499; 2681К; 233К; 1; Com dados; ; 0,964; 0,256; 0,889; 0,663; 0,780; 0,891; 0,741; 422К; 184К; 1; Com dados; ; 0,542; 1138К; 207К; 1
3528809; 35; 28809; SP; MARACAI; 0; Pequeno porte 1; 13.948; 533,5; 25; 413.866,39; 29.899,32; 0,512; 0,385; 0,449; 992К; 196К; 1; Com dados; ; 0,000; 1,000; 0,331; 0,092; 0,577; 0,999; 0,219; 0,460; 3267К; 283К; 1; Com dados; ; 0,978; 0,175; 0,868; 0,638; 0,783; 0,870; 0,719; 721К; 296К; 1; Com dados; ; 0,542; 1139К; 208К; 1
4312500; 43; 12500; RS; MOSTARDAS; 0; Pequeno porte 1; 12.758; 1.982,99; 6,1; 259.401,86; 20.527,17; 0,577; 0,259; 0,418; 1393К; 241К; 1; Com dados; ; 0,229; 1,000; 0,000; 0,731; 0,628; 0,580; 0,996; 0,595; 1232К; 194К; 1; Com dados; ; 0,910; 0,105; 0,772; 0,453; 0,527; 0,918; 0,614; 2372К; 343К; 1; Com dados; ; 0,542; 1140К; 248К; 1
3302270; 33; 2270; RJ; JAPERI; 0; Grande porte; 100.562; 81,87; 1.166,40; 999.876,34; 10.162,07; 0,490; 0,219; 0,354; 2416К; 39К; 1; Com dados; ; 0,477; 0,534; 0,090; 0,920; 0,853; 0,832; 0,991; 0,671; 484К; 20К; 1; Com dados; ; 0,878; 0,269; 0,691; 0,461; 0,516; 0,791; 0,601; 2539К; 72К; 1; Com dados; ; 0,542; 1141К; 19К; 1
3537107; 35; 37107; SP; PEDREIRA; 0; Pequeno porte 2; 46.094; 108,82; 382,7; 941.568,23; 21.154,56; 0,335; 0,278; 0,306; 3227К; 518К; 1; Com dados; ; 0,248; 0,534; 0,298; 0,681; 0,530; 0,735; 0,996; 0,575; 1530К; 153К; 1; Com dados; ; 0,959; 0,136; 0,946; 0,752; 0,778; 0,902; 0,746; 372К; 165К; 1; Com dados; ; 0,542; 1142К; 209К; 1
4118857; 41; 18857; PR; PEROBAL; 0; Pequeno porte 1; 6.029; 407,58; 13,9; 126.734,55; 21.397,02; 0,534; 0,288; 0,411; 1489К; 185К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,202; 0,573; 0,654; 0,988; 0,488; 2850К; 298К; 1; Com dados; ; 0,965; 0,289; 0,892; 0,694; 0,644; 0,878; 0,727; 601К; 57К; 1; Com dados; ; 0,542; 1143К; 195К; 1
4123402; 41; 23402; PR; SANTA FE; 0; Pequeno porte 1; 11.562; 276,24; 37,8; 209.041,84; 18.734,71; 0,554; 0,213; 0,384; 1958К; 250К; 1; Com dados; ; 0,144; 1,000; 0,121; 0,172; 0,577; 0,735; 0,992; 0,534; 2163К; 244К; 1; Com dados; ; 0,981; 0,173; 0,922; 0,745; 0,625; 0,802; 0,708; 892К; 103К; 1; Com dados; ; 0,542; 1144К; 196К; 1
3521903; 35; 21903; SP; ITAJOBI; 0; Pequeno porte 1; 15.212; 502,07; 29; 392.940,94; 26.015,69; 0,389; 0,379; 0,384; 1959К; 363К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,511; 0,114; 0,625; 0,997; 0,464; 3206К; 280К; 1; Com dados; ; 0,986; 0,539; 0,921; 0,711; 0,685; 0,829; 0,778; 113К; 60К; 1; Com dados; ; 0,542; 1145К; 210К; 1
3117306; 31; 17306; MG; CONCEICAO DAS ALAGOAS; 0; Pequeno porte 2; 26.428; 1.340,25; 17,2; 632.586,18; 25.163,54; 0,531; 0,328; 0,429; 1235К; 71К; 1; Com dados; ; 0,248; 1,000; 0,090; 0,551; 0,203; 0,743; 0,996; 0,547; 1976К; 195К; 1; Com dados; ; 0,966; 0,067; 0,859; 0,478; 0,642; 0,883; 0,649; 1911К; 319К; 1; Com dados; ; 0,542; 1146К; 80К; 1
4116059; 41; 16059; PR; MISSAL; 0; Pequeno porte 1; 10.863; 324,4; 32,3; 297.937,16; 27.553,61; 0,535; 0,385; 0,460; 880К; 93К; 1; Com dados; ; 0,000; 0,762; 0,000; 0,461; 0,446; 0,599; 0,995; 0,466; 3179К; 317К; 1; Com dados; ; 0,967; 0,194; 0,933; 0,609; 0,640; 0,851; 0,699; 1062К; 126К; 1; Com dados; ; 0,542; 1147К; 197К; 1
4127502; 41; 27502; PR; TIBAGI; 0; Pequeno porte 2; 20.470; 2.951,57; 6,6; 784.101,44; 38.847,67; 0,466; 0,251; 0,358; 2357К; 288К; 1; Com dados; ; 0,395; 1,000; 0,090; 0,960; 0,529; 0,682; 0,997; 0,665; 529К; 61К; 1; Com dados; ; 0,912; 0,297; 0,603; 0,389; 0,527; 0,883; 0,602; 2525К; 309К; 1; Com dados; ; 0,542; 1148К; 198К; 1
4202537; 42; 2537; SC; BOM JESUS; 0; Pequeno porte 1; 2.870; 63,47; 39,8; 71.529,12; 26.287,80; 0,468; 0,507; 0,488; 623К; 90К; 1; Com dados; ; 0,229; 0,633; 0,106; 0,721; 0,111; 0,412; 0,994; 0,458; 3292К; 265К; 1; Com dados; ; 0,807; 0,374; 0,781; 0,611; 0,656; 0,845; 0,679; 1415К; 201К; 1; Com dados; ; 0,542; 1149К; 197К; 1
3205150; 32; 5150; ES; VILA PAVAO; 0; Pequeno porte 1; 9.414; 433,26; 20; 138.530,41; 14.940,73; 0,585; 0,324; 0,454; 932К; 17К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,770; 0,114; 0,532; 0,994; 0,487; 2867К; 57К; 1; Com dados; ; 0,954; 0,304; 0,879; 0,556; 0,568; 0,840; 0,683; 1343К; 21К; 1; Com dados; ; 0,542; 1150К; 35К; 1
1718899; 17; 18899; TO; SANTA RITA DO TOCANTINS; 0; Pequeno porte 1; 2.322; 3.274,95; 0,7; 32.476,51; 14.402,00; 0,560; 0,552; 0,556; 266К; 2К; 1; Com dados; ; 0,855; 0,596; 0,090; 0,262; 0,460; 0,788; 0,960; 0,573; 1554К; 12К; 1; Com dados; ; 0,702; 0,116; 0,542; 0,277; 0,496; 0,840; 0,495; 3474К; 66К; 1; Com dados; ; 0,542; 1151К; 8К; 1
4311155; 43; 11155; RS; JOIA; 0; Pequeno porte 1; 8.668; 1.235,92; 6,7; 361.459,52; 41.888,92; 0,564; 0,325; 0,445; 1037К; 194К; 1; Com dados; ; 0,229; 0,633; 0,118; 0,930; 0,221; 0,683; 0,998; 0,545; 2022К; 312К; 1; Com dados; ; 0,936; 0,100; 0,827; 0,467; 0,580; 0,902; 0,635; 2099К; 296К; 1; Com dados; ; 0,542; 1152К; 249К; 1
5204557; 52; 4557; GO; CALDAZINHA; 0; Pequeno porte 1; 3.664; 249,69; 13,3; 35.242,64; 9.955,55; 0,438; 0,383; 0,411; 1505К; 97К; 1; Com dados; ; 0,000; 1,000; 0,315; 0,000; 1,000; 0,485; 0,996; 0,542; 2059К; 77К; 1; Com dados; ; 0,966; 0,328; 0,787; 0,543; 0,578; 0,829; 0,672; 1529К; 84К; 1; Com dados; ; 0,542; 1153К; 54К; 1
4315305; 43; 15305; RS; QUARAI; 0; Pequeno porte 2; 23.555; 3.147,63; 7,3; 315.692,36; 13.359,25; 0,475; 0,176; 0,326; 2901К; 402К; 1; Com dados; ; 0,477; 1,000; 0,000; 0,591; 0,751; 0,788; 0,995; 0,657; 577К; 100К; 1; Com dados; ; 0,935; 0,116; 0,680; 0,570; 0,623; 0,924; 0,641; 2028К; 287К; 1; Com dados; ; 0,541; 1154К; 250К; 1
4319364; 43; 19364; RS; SAO PEDRO DAS MISSOES; 0; Pequeno porte 1; 1.991; 79,97; 23,6; 40.315,56; 20.475,14; 0,454; 0,617; 0,536; 346К; 86К; 1; Com dados; ; 0,229; 1,000; 0,090; 0,661; 0,279; 0,052; 0,996; 0,472; 3085К; 430К; 1; Com dados; ; 0,949; 0,298; 0,743; 0,363; 0,527; 0,818; 0,616; 2344К; 336К; 1; Com dados; ; 0,541; 1155К; 251К; 1
4213401; 42; 13401; SC; PONTE SERRADA; 0; Pequeno porte 1; 11.499; 564,49; 19,5; 244.696,81; 21.544,01; 0,464; 0,274; 0,369; 2194К; 224К; 1; Com dados; ; 0,229; 0,762; 0,000; 0,880; 0,692; 0,788; 0,993; 0,621; 936К; 150К; 1; Com dados; ; 0,932; 0,133; 0,811; 0,581; 0,597; 0,753; 0,634; 2112К; 235К; 1; Com dados; ; 0,541; 1156К; 198К; 1
4218103; 42; 18103; SC; TIMBE DO SUL; 0; Pequeno porte 1; 5.379; 330,09; 16,1; 84.170,24; 15.624,70; 0,454; 0,243; 0,348; 2517К; 240К; 1; Com dados; ; 0,229; 1,000; 0,230; 0,521; 0,045; 0,659; 0,993; 0,525; 2300К; 240К; 1; Com dados; ; 0,984; 0,224; 0,926; 0,796; 0,661; 0,910; 0,750; 326К; 70К; 1; Com dados; ; 0,541; 1157К; 199К; 1
5213806; 52; 13806; GO; MORRINHOS; 0; Pequeno porte 2; 45.000; 2.846,20; 14,6; 1.064.947,85; 24.318,32; 0,555; 0,159; 0,357; 2381К; 142К; 1; Com dados; ; 0,000; 1,000; 0,120; 0,392; 0,747; 0,730; 0,984; 0,567; 1640К; 50К; 1; Com dados; ; 0,980; 0,257; 0,880; 0,488; 0,695; 0,897; 0,699; 1054К; 41К; 1; Com dados; ; 0,541; 1158К; 55К; 1
3522307; 35; 22307; SP; ITAPETININGA; 0; Grande porte; 158.561; 1.789,35; 80,7; 3.443.713,54; 22.389,40; 0,604; 0,252; 0,428; 1250К; 239К; 1; Com dados; ; 0,392; 0,375; 0,000; 0,382; 0,533; 0,759; 0,998; 0,491; 2800К; 244К; 1; Com dados; ; 0,945; 0,142; 0,806; 0,663; 0,764; 0,906; 0,704; 960К; 361К; 1; Com dados; ; 0,541; 1159К; 211К; 1
2313302; 23; 13302; CE; TAUA; 0; Mщdio porte; 57.914; 4.018,16; 13,9; 389.675,65; 6.807,04; 0,535; 0,329; 0,432; 1210К; 19К; 1; Com dados; ; 0,477; 1,000; 0,000; 0,840; 0,655; 0,759; 0,984; 0,674; 465К; 11К; 1; Com dados; ; 0,661; 0,123; 0,520; 0,730; 0,453; 0,620; 0,518; 3242К; 48К; 1; Com dados; ; 0,541; 1160К; 8К; 1
4107751; 41; 7751; PR; FIGUEIRA; 0; Pequeno porte 1; 8.222; 129,77; 63,9; 100.967,13; 12.071,63; 0,657; 0,284; 0,471; 769К; 80К; 1; Com dados; ; 0,229; 0,534; 0,000; 0,711; 0,769; 0,627; 0,999; 0,553; 1872К; 217К; 1; Com dados; ; 0,944; 0,183; 0,722; 0,409; 0,558; 0,783; 0,600; 2547К; 314К; 1; Com dados; ; 0,541; 1161К; 199К; 1
3549003; 35; 49003; SP; SAO FRANCISCO; 0; Pequeno porte 1; 2.854; 75,58; 36,9; 32.648,93; 11.399,76; 0,404; 0,390; 0,397; 1742К; 328К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,681; 0,097; 0,464; 0,997; 0,463; 3224К; 282К; 1; Com dados; ; 0,987; 0,456; 0,896; 0,795; 0,668; 0,780; 0,764; 209К; 94К; 1; Com dados; ; 0,541; 1162К; 212К; 1
5217203; 52; 17203; GO; PIRANHAS; 0; Pequeno porte 1; 11.092; 2.047,77; 5,5; 264.688,67; 23.394,79; 0,467; 0,279; 0,373; 2129К; 133К; 1; Com dados; ; 0,604; 1,000; 0,000; 0,571; 0,198; 0,723; 0,996; 0,585; 1384К; 39К; 1; Com dados; ; 0,927; 0,217; 0,839; 0,439; 0,663; 0,905; 0,665; 1639К; 94К; 1; Com dados; ; 0,541; 1163К; 56К; 1
3528858; 35; 28858; SP; MARAPOAMA; 0; Pequeno porte 1; 2.917; 111,27; 23,7; 133.099,79; 47.232,01; 0,299; 0,515; 0,407; 1559К; 296К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,611; 0,137; 0,324; 0,996; 0,438; 3539К; 305К; 1; Com dados; ; 0,991; 0,406; 0,898; 0,756; 0,737; 0,878; 0,778; 119К; 63К; 1; Com dados; ; 0,541; 1164К; 213К; 1
4322905; 43; 22905; RS; VIADUTOS; 0; Pequeno porte 1; 5.237; 268,24; 19,8; 118.237,16; 22.125,22; 0,532; 0,221; 0,376; 2059К; 335К; 1; Com dados; ; 0,229; 1,000; 0,000; 0,870; 0,221; 0,674; 0,993; 0,570; 1608К; 249К; 1; Com dados; ; 0,947; 0,124; 0,864; 0,558; 0,618; 0,948; 0,676; 1461К; 212К; 1; Com dados; ; 0,541; 1165К; 252К; 1
4107553; 41; 7553; PR; FAROL; 0; Pequeno porte 1; 3.355; 289,23; 12; 113.805,90; 32.929,95; 0,460; 0,504; 0,482; 676К; 67К; 1; Com dados; ; 0,000; 0,368; 0,000; 0,392; 0,917; 0,428; 0,987; 0,442; 3492К; 331К; 1; Com dados; ; 0,968; 0,332; 0,798; 0,590; 0,649; 0,853; 0,699; 1069К; 127К; 1; Com dados; ; 0,541; 1166К; 200К; 1
3551306; 35; 51306; SP; SEBASTIANOPOLIS DO SUL; 0; Pequeno porte 1; 3.373; 167,85; 18; 231.341,34; 71.138,17; 0,241; 0,531; 0,386; 1921К; 358К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,601; 0,290; 0,266; 0,996; 0,450; 3391К; 297К; 1; Com dados; ; 0,990; 0,358; 0,952; 0,761; 0,788; 0,864; 0,786; 90К; 49К; 1; Com dados; ; 0,541; 1167К; 214К; 1
4122602; 41; 22602; PR; RONDON; 0; Pequeno porte 1; 9.535; 555,13; 16,2; 230.857,23; 24.582,82; 0,494; 0,304; 0,399; 1691К; 216К; 1; Com dados; ; 0,144; 0,762; 0,000; 0,072; 0,939; 0,605; 0,998; 0,503; 2623К; 286К; 1; Com dados; ; 0,977; 0,177; 0,930; 0,759; 0,644; 0,832; 0,720; 700К; 71К; 1; Com dados; ; 0,541; 1168К; 201К; 1
4107736; 41; 7736; PR; FERNANDES PINHEIRO; 0; Pequeno porte 1; 5.929; 406,5; 14,6; 122.593,81; 20.405,09; 0,548; 0,489; 0,518; 430К; 42К; 1; Com dados; ; 0,000; 0,762; 0,121; 0,751; 0,530; 0,526; 0,996; 0,527; 2288К; 258К; 1; Com dados; ; 0,772; 0,307; 0,557; 0,583; 0,482; 0,759; 0,577; 2748К; 339К; 1; Com dados; ; 0,541; 1169К; 202К; 1
4127965; 41; 27965; PR; TURVO; 0; Pequeno porte 1; 13.712; 926,77; 15,1; 279.771,84; 20.074,04; 0,423; 0,278; 0,351; 2483К; 302К; 1; Com dados; ; 0,729; 0,762; 0,000; 0,671; 0,855; 0,663; 0,994; 0,668; 509К; 58К; 1; Com dados; ; 0,829; 0,188; 0,717; 0,466; 0,547; 0,875; 0,604; 2501К; 308К; 1; Com dados; ; 0,541; 1170К; 203К; 1
5214002; 52; 14002; GO; MOZARLANDIA; 0; Pequeno porte 1; 14.941; 1.734,36; 7,7; 445.244,10; 31.005,86; 0,500; 0,334; 0,417; 1408К; 91К; 1; Com dados; ; 0,229; 0,762; 0,120; 0,790; 0,417; 0,753; 0,968; 0,577; 1494К; 44К; 1; Com dados; ; 0,908; 0,133; 0,778; 0,505; 0,573; 0,856; 0,625; 2234К; 149К; 1; Com dados; ; 0,540; 1171К; 57К; 1
3542909; 35; 42909; SP; RIBEIRAO BONITO; 0; Pequeno porte 1; 12.986; 471,55; 25,7; 241.302,98; 18.925,72; 0,473; 0,353; 0,413; 1454К; 277К; 1; Com dados; ; 0,477; 1,000; 0,000; 0,382; 0,204; 1,000; 0,466; 0,504; 2602К; 226К; 1; Com dados; ; 0,965; 0,351; 0,837; 0,648; 0,642; 0,772; 0,702; 996К; 371К; 1; Com dados; ; 0,540; 1172К; 215К; 1
4112207; 41; 12207; PR; JANIOPOLIS; 0; Pequeno porte 1; 6.005; 335,65; 19,5; 137.430,72; 21.673,35; 0,448; 0,353; 0,401; 1675К; 214К; 1; Com dados; ; 0,480; 0,534; 0,000; 0,521; 0,436; 0,649; 0,994; 0,516; 2442К; 270К; 1; Com dados; ; 0,972; 0,295; 0,821; 0,653; 0,604; 0,870; 0,702; 998К; 116К; 1; Com dados; ; 0,540; 1173К; 204К; 1
4306734; 43; 6734; RS; DOUTOR MAURICIO CARDOSO; 0; Pequeno porte 1; 5.154; 256,87; 21; 145.450,43; 27.438,30; 0,494; 0,287; 0,391; 1845К; 296К; 1; Com dados; ; 0,229; 1,000; 0,000; 0,820; 0,287; 0,604; 0,997; 0,562; 1727К; 268К; 1; Com dados; ; 0,931; 0,154; 0,861; 0,522; 0,628; 0,899; 0,666; 1627К; 233К; 1; Com dados; ; 0,540; 1174К; 253К; 1
4323408; 43; 23408; RS; VILA MARIA; 0; Pequeno porte 1; 4.400; 181,33; 23,3; 191.130,76; 43.667,07; 0,458; 0,417; 0,437; 1136К; 210К; 1; Com dados; ; 0,373; 1,000; 0,000; 0,112; 0,234; 0,686; 0,993; 0,485; 2900К; 414К; 1; Com dados; ; 0,998; 0,032; 0,961; 0,550; 0,759; 0,875; 0,696; 1118К; 174К; 1; Com dados; ; 0,540; 1175К; 254К; 1
3518008; 35; 18008; SP; GUARANI D'OESTE; 0; Pequeno porte 1; 2.018; 85,7; 23; 25.538,60; 12.624,12; 0,176; 0,709; 0,443; 1064К; 209К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,711; 0,022; 0,148; 0,996; 0,411; 3803К; 326К; 1; Com dados; ; 0,987; 0,467; 0,845; 0,839; 0,690; 0,759; 0,765; 203К; 90К; 1; Com dados; ; 0,539; 1176К; 216К; 1
4315503; 43; 15503; RS; RESTINGA SECA; 0; Pequeno porte 1; 16.324; 968,5; 16,6; 322.106,30; 19.692,26; 0,500; 0,194; 0,347; 2536К; 374К; 1; Com dados; ; 0,621; 0,762; 0,000; 0,820; 0,603; 0,807; 0,996; 0,658; 571К; 99К; 1; Com dados; ; 0,932; 0,189; 0,761; 0,347; 0,573; 0,872; 0,612; 2399К; 348К; 1; Com dados; ; 0,539; 1177К; 255К; 1
2210508; 22; 10508; PI; SAO PEDRO DO PIAUI; 0; Pequeno porte 1; 14.027; 518,29; 26,3; 75.436,54; 5.422,02; 0,606; 0,395; 0,501; 530К; 10К; 1; Com dados; ; 0,855; 0,834; 0,090; 0,701; 0,259; 0,656; 0,995; 0,627; 850К; 13К; 1; Com dados; ; 0,619; 0,313; 0,452; 0,592; 0,363; 0,601; 0,490; 3515К; 33К; 1; Com dados; ; 0,539; 1178К; 3К; 1
4109203; 41; 9203; PR; GUARACI; 0; Pequeno porte 1; 5.463; 211,68; 24,7; 82.553,07; 15.364,43; 0,491; 0,323; 0,407; 1554К; 192К; 1; Com dados; ; 0,000; 1,000; 0,195; 0,601; 0,058; 0,565; 0,997; 0,488; 2852К; 299К; 1; Com dados; ; 0,981; 0,369; 0,864; 0,651; 0,609; 0,859; 0,722; 670К; 69К; 1; Com dados; ; 0,539; 1179К; 205К; 1
4125001; 41; 25001; PR; SAO JOAO DO IVAI; 0; Pequeno porte 1; 11.115; 353,33; 32,6; 210.650,73; 18.379,79; 0,513; 0,292; 0,403; 1630К; 205К; 1; Com dados; ; 0,251; 0,534; 0,245; 0,282; 0,736; 0,611; 0,996; 0,522; 2345К; 262К; 1; Com dados; ; 0,977; 0,288; 0,798; 0,677; 0,597; 0,818; 0,692; 1186К; 150К; 1; Com dados; ; 0,539; 1180К; 206К; 1
3508306; 35; 8306; SP; CABRALIA PAULISTA; 0; Pequeno porte 1; 4.371; 239,97; 18,2; 80.729,57; 18.223,38; 0,493; 0,482; 0,487; 627К; 135К; 1; Com dados; ; 0,000; 0,603; 0,000; 0,711; 0,045; 0,516; 0,998; 0,410; 3807К; 327К; 1; Com dados; ; 0,948; 0,498; 0,819; 0,679; 0,599; 0,775; 0,720; 707К; 289К; 1; Com dados; ; 0,539; 1181К; 217К; 1
3202256; 32; 2256; ES; GOVERNADOR LINDENBERG; 0; Pequeno porte 1; 12.444; 359,98; 30,2; 146.794,01; 12.280,93; 0,542; 0,264; 0,403; 1626К; 31К; 1; Com dados; ; 0,000; 0,762; 0,226; 0,501; 0,545; 0,702; 0,996; 0,533; 2178К; 47К; 1; Com dados; ; 0,952; 0,318; 0,787; 0,606; 0,599; 0,824; 0,681; 1387К; 23К; 1; Com dados; ; 0,539; 1182К; 36К; 1
3204609; 32; 4609; ES; SANTA TERESA; 0; Pequeno porte 2; 23.882; 683,16; 31,9; 339.356,62; 14.482,61; 0,438; 0,239; 0,339; 2668К; 54К; 1; Com dados; ; 0,000; 0,762; 0,210; 0,970; 0,486; 0,788; 0,988; 0,601; 1171К; 28К; 1; Com dados; ; 0,953; 0,175; 0,903; 0,537; 0,647; 0,851; 0,678; 1432К; 25К; 1; Com dados; ; 0,539; 1183К; 37К; 1
3540101; 35; 40101; SP; PONGAI; 0; Pequeno porte 1; 3.494; 183,4; 19; 48.989,97; 13.850,71; 0,465; 0,634; 0,549; 287К; 67К; 1; Com dados; ; 0,000; 1,000; 0,000; 0,043; 0,022; 0,373; 0,996; 0,348; 4187К; 370К; 1; Com dados; ; 0,984; 0,166; 0,872; 0,696; 0,745; 0,856; 0,720; 705К; 287К; 1; Com dados; ; 0,539; 1184К; 218К; 1
4303400; 43; 3400; RS; CAICARA; 0; Pequeno porte 1; 5.083; 189,2; 26,8; 80.568,38; 15.650,42; 0,534; 0,245; 0,389; 1868К; 302К; 1; Com dados; ; 0,229; 1,000; 0,214; 0,651; 0,332; 0,596; 0,998; 0,574; 1534К; 235К; 1; Com dados; ; 0,936; 0,125; 0,948; 0,449; 0,611; 0,848; 0,653; 1856К; 261К; 1; Com dados; ; 0,539; 1185К; 256К; 1
1100031; 11; 31; RO; CABIXI; 0; Pequeno porte 1; 6.289; 1.314,35; 4,8; 96.308,03; 14.828,03; 0,702; 0,306; 0,504; 517К; 4К; 1; Com dados; ; 0,229; 1,000; 0,090; 0,611; 0,242; 0,635; 0,993; 0,543; 2048К; 24К; 1; Com dados; ; 0,899; 0,281; 0,704; 0,484; 0,494; 0,558; 0,570; 2799К; 18К; 1; Com dados; ; 0,539; 1186К; 5К; 1
4318051; 43; 18051; RS; SAO DOMINGOS DO SUL; 0; Pequeno porte 1; 3.073; 78,72; 37,1; 47.867,80; 15.714,97; 0,369; 0,358; 0,364; 2277К; 356К; 1; Com dados; ; 0,229; 1,000; 0,000; 0,122; 0,328; 0,649; 0,990; 0,474; 3060К; 427К; 1; Com dados; ; 0,990; 0,284; 0,979; 0,781; 0,764; 0,875; 0,779; 110К; 19К; 1; Com dados; ; 0,539; 1187К; 257К; 1
