Cѓd Mun; Codigouf; Codigomunicipio; Estado; Nome; Capital (1=Sim;0=Nуo); Porte do Municэpio; Populaчуo 2016 (IBGE); Сrea da unidade territorial 2015 (kmВ) (IBGE Cidades); Densidade demogrсfica 2010 (hab/kmВ) (IBGE Cidades); PIB 2013 -  A preчos correntes (1000 R$) (IBGE) ; PIB per capita (R$) 2013 (IBGE); Эndice Firjan de Gestуo Fiscal (2015); Gastos saњde e educaчуo per capita; Эndice Fiscal 2016; Colocaчуo Nacional em Gastos e Finanчas Pњblicas; Colocaчуo Estadual em Gastos e Finanчas Pњblicas; "Municэpios com эndice 
(1=Sim; 0 Nуo)"; Status em Gastos e Finanчas; Variсvel do outlier; Terceirizaчуo serviчos bсsicos; Informatizaчуo; Articulaчуo institucional; Transparъncia; Planejamento Urbano; Servidores per capita; Comissionados ; Эndice Gestуo 2016; Colocaчуo Nacional em Qualidade da Gestуo; Colocaчуo Estadual em Qualidade da Gestуo; "Municэpios com эndice 
(1=Sim; 0 Nуo)2"; Status em Qualidade da Gestуo; Variсvel do outlier ; Qualidade habitacional; Atendimento mщdico; Vulnerabilidade; Educaчуo; IDHM; Mortalidade infantil; Эndice de Desempenho 2016; Colocaчуo Nacional em Desempenho; Colocaчуo Estadual em Desempenho; "Municэpios com эndice 
(1=Sim; 0 Nуo)3"; Status em Desempenho; Variсvel do outlier  ; IGM - 2016; Colocaчуo no IGM; Colocaчуo Estadual no IGM; "Municэpios com эndice 
(1=Sim; 0 Nуo)4"
3550704; 35; 50704; SP; SAO SEBASTIAO; 0; Mщdio porte; 84.294; 399,68; 185; 5.772.025,89; 71.810,12; 0,803; 0,757; 0,780; 4К; 2К; 1; Com dados; ; 0,729; 1,000; 0,000; 0,402; 0,457; 0,667; 0,996; 0,607; 1088К; 120К; 1; Com dados; ; 0,923; 0,204; 0,834; 0,809; 0,785; 0,980; 0,756; 269К; 118К; 1; Com dados; ; 0,714; 11К; 6К; 1
3525904; 35; 25904; SP; JUNDIAI; 0; Grande porte; 405.740; 431,21; 858,4; 36.622.896,04; 92.970,39; 0,576; 0,486; 0,531; 374К; 86К; 1; Com dados; ; 1,000; 1,000; 0,388; 0,701; 0,900; 0,808; 0,997; 0,827; 22К; 5К; 1; Com dados; ; 0,951; 0,198; 0,930; 0,763; 0,905; 0,918; 0,777; 123К; 66К; 1; Com dados; ; 0,712; 12К; 7К; 1
4205357; 42; 5357; SC; FLOR DO SERTAO; 0; Pequeno porte 1; 1.597; 58,74; 27; 25.491,69; 15.882,67; 0,551; 0,941; 0,746; 11К; 1К; 1; Com dados; ; 0,477; 1,000; 0,106; 0,890; 0,802; 0,449; 0,995; 0,674; 462К; 91К; 1; Com dados; ; 0,934; 0,197; 0,968; 0,703; 0,632; 0,761; 0,699; 1056К; 164К; 1; Com dados; ; 0,707; 13К; 4К; 1
4204301; 42; 4301; SC; CONCORDIA; 0; Mщdio porte; 73.206; 799,45; 85,8; 2.354.993,83; 32.937,44; 0,656; 0,340; 0,498; 545К; 75К; 1; Com dados; ; 1,000; 1,000; 0,226; 0,950; 0,907; 0,768; 0,996; 0,835; 18К; 5К; 1; Com dados; ; 0,983; 0,177; 0,933; 0,759; 0,852; 0,946; 0,775; 136К; 25К; 1; Com dados; ; 0,703; 14К; 5К; 1
3205309; 32; 5309; ES; VITORIA; 1; Grande porte; 359.555; 96,54; 3.338,30; 22.289.815,47; 64.001,91; 0,695; 0,393; 0,544; 306К; 4К; 1; Com dados; ; 0,872; 1,000; 0,000; 0,900; 0,736; 0,708; 0,997; 0,745; 152К; 1К; 1; Com dados; ; 0,975; 0,292; 0,902; 0,855; 0,959; 0,922; 0,818; 17К; 1К; 1; Com dados; ; 0,702; 15К; 1К; 1
5215504; 52; 15504; GO; OUVIDOR; 0; Pequeno porte 1; 6.242; 413,78; 13,2; 341.868,84; 57.621,58; 0,735; 0,842; 0,789; 3К; 1К; 1; Com dados; ; 0,248; 0,834; 0,090; 0,880; 0,570; 0,769; 0,960; 0,621; 918К; 19К; 1; Com dados; ; 0,975; 0,143; 0,881; 0,553; 0,726; 0,867; 0,691; 1210К; 51К; 1; Com dados; ; 0,700; 16К; 1К; 1
3550308; 35; 50308; SP; SAO PAULO; 1; Grande porte; 12.038.175; 1.521,11; 7.398,30; 570.706.191,59; 48.275,45; 0,738; 0,333; 0,536; 345К; 77К; 1; Com dados; ; 1,000; 0,834; 0,000; 0,950; 0,887; 0,883; 0,997; 0,793; 52К; 10К; 1; Com dados; ; 0,933; 0,246; 0,876; 0,731; 0,864; 0,874; 0,754; 287К; 126К; 1; Com dados; ; 0,694; 17К; 8К; 1
3538709; 35; 38709; SP; PIRACICABA; 0; Grande porte; 394.419; 1.378,07; 264,5; 20.273.704,33; 52.619,75; 0,689; 0,393; 0,541; 321К; 72К; 1; Com dados; ; 0,872; 0,834; 0,389; 0,940; 0,652; 0,917; 0,997; 0,800; 46К; 9К; 1; Com dados; ; 0,957; 0,212; 0,899; 0,716; 0,816; 0,839; 0,740; 425К; 186К; 1; Com dados; ; 0,693; 18К; 9К; 1
4204350; 42; 4350; SC; CORDILHEIRA ALTA; 0; Pequeno porte 1; 4.253; 82,86; 45,5; 189.538,17; 46.880,58; 0,521; 0,471; 0,496; 563К; 78К; 1; Com dados; ; 0,624; 1,000; 0,887; 0,820; 0,525; 0,774; 0,980; 0,801; 41К; 9К; 1; Com dados; ; 0,967; 0,422; 0,933; 0,738; 0,726; 0,910; 0,783; 98К; 16К; 1; Com dados; ; 0,693; 19К; 6К; 1
4204202; 42; 4202; SC; CHAPECO; 0; Grande porte; 209.553; 626,06; 293,2; 6.621.741,80; 33.411,42; 0,533; 0,366; 0,450; 983К; 136К; 1; Com dados; ; 0,855; 1,000; 0,300; 1,000; 1,000; 0,855; 0,997; 0,858; 8К; 2К; 1; Com dados; ; 0,967; 0,192; 0,930; 0,773; 0,828; 0,943; 0,772; 154К; 28К; 1; Com dados; ; 0,693; 20К; 7К; 1
